"Accession","Ploidy","Country","Latitude","Longitude"
"RU2012-087",2,"Russia",48.3661,133.13763
"RU2012-050",2,"Russia",48.9179,136.22987
"RU2012-126",2,"Russia",48.36336,135.06953
"RU2012-041",2,"Russia",49.3312,136.52007
"RU2012-164",2,"Russia",46.11409,133.93184
"JY049",2,"China",30.80941667,117.7622833
"JM2014-H-64",4,"Japan",42.93335278,141.5706944
"RU2012-162",2,"Russia",46.11355,133.93243
"KMS365",2,"South Korea",38.233123,128.53907
"JY050",2,"China",30.80133333,117.7565333
"JY190",2,"China",39.56725,122.5531667
"KMS349",2,"South Korea",36.514722,127.366666
"RU2012-036-8",2,"Russia",49.0646,136.51761
"RU2012-190",2,"Russia",44.17197,131.70364
"KMS377",2,"South Korea",37.724618,126.389272
"KMS449",4,"South Korea",36.285742,128.364586
"JY056",2,"China",30.77973333,117.716015
"RU2012-120",2,"Russia",48.57172,134.423
"JY249",2,"China",44.20038333,129.2916
"KMS328",4,"South Korea",35.307777,126.554444
"KMS414",4,"South Korea",35.788876,127.083015
"RU2012-131",2,"Russia",47.946,135.07274
"JM2014-H-56",4,"Japan",43.21947778,141.5352472
"RU2012-098",2,"Russia",48.70913,133.19144
"JY270",2,"China",40.63595,122.4794167
"RU2012-141",2,"Russia",47.50762,134.74113
"JY215",2,"China",42.7167,124.3275167
"RU2012-114",2,"Russia",48.6093,134.21509
"KMS378",2,"South Korea",37.780566,126.405413
"JY271-2",2,"China",40.38468333,122.2128
"RU2012-197",2,"Russia",44.43462,131.40167
"JY266",2,"China",41.0451,122.77865
"RU2012-083",2,"Russia",48.44911,133.07716
"RU2012-043",2,"Russia",49.33128,136.52025
"JY260",2,"China",43.30353333,126.0497833
"JM2014-M-11",4,"Japan",37.77228056,140.5031139
"RU2012-029",2,"Russia",48.52453,134.95181
"JY038",2,"China",31.02708333,117.9947167
"RU2012-136",2,"Russia",47.89221,135.00757
"RU2012-105",2,"Russia",48.59678,133.63899
"JY220",2,"China",43.10051667,124.7163833
"KMS370",2,"South Korea",37.777277,126.463466
"RU2012-095",2,"Russia",48.2915,133.17241
"JY291",2,"China",33.56025,118.19205
"RU2012-028",2,"Russia",48.52137,134.95447
"RU2012-161",2,"Russia",46.11338,133.93321
"JY201",2,"China",40.49975,124.04675
"JY054",2,"China",30.79593333,117.7442167
"JY277",2,"China",39.9698,121.9414
"RU2012-100",2,"Russia",48.70947,133.1916
"JY120",2,"China",30.75633333,120.1465
"JM2014-K-10",4,"Japan",31.85255556,131.40675
"JY048",2,"China",30.8093,117.7626333
"JY264",2,"China",41.22826667,122.9796
"JY018",2,"China",31.12476667,118.1595
"KMS394",2,"South Korea",37.156917,127.882512
"RU2012-068",2,"Russia",48.46773,135.43912
"JY225",2,"China",43.93583333,126.8691
"RU2012-207",2,"Russia",45.19656,131.97572
"RU2012-096",2,"Russia",48.73666,133.02147
"JY030",2,"China",31.16735,118.0533833
"JY022",2,"China",31.14113333,118.1456333
"RU2012-169",2,"Russia",45.34596,133.55589
"JY118-1",4,"China",28.60158333,116.2131667
"RU2012-145",2,"Russia",47.21572,134.36598
"RU2012-097",2,"Russia",48.72874,133.07011
"JY174",4,"China",36.86165,121.4351333
"RU2012-165",2,"Russia",46.11444,133.93196
"JY152",4,"China",36.12633333,120.5590167
"JY199",2,"China",40.09615,124.2948333
"RU2012-158",2,"Russia",46.42939,134.25443
"JY101",2,"China",30.14965,114.11035
"JY265",2,"China",41.06393333,122.8007833
"JY246",2,"China",44.31156667,129.4393167
"JY262",2,"China",41.30351667,123.0787833
"JY155",2,"China",36.3888,120.6836167
"JY051",2,"China",30.80138333,117.7564333
"RU2012-179",2,"Russia",43.97126,132.18762
"RU2012-154",2,"Russia",46.42865,134.25366
"JY191",4,"China",39.55866667,122.6042167
"JY221-2",2,"China",43.95411667,126.7628167
"KMS415",4,"South Korea",35.801112,127.102159
"JY205",2,"China",40.6572,123.9951667
"KMS374",2,"South Korea",37.631172,126.443141
"JY015",2,"China",30.91831667,120.1317667
"JY080",2,"China",29.76703333,116.3389333
"JY044-5",2,"China",30.89375,117.7518
"JY175",4,"China",36.88793333,121.46485
"RU2012-214",2,"Russia",44.69109,131.95929
"JY163",2,"China",36.72868333,121.2671167
"JY164",2,"China",36.73626667,121.292
"JM2014-H-9",4,"Japan",43.48790278,142.4627833
"RU2012-065",2,"Russia",48.46713,135.44026
"RU2012-084",2,"Russia",48.36573,133.13956
"JY187",2,"China",37.40481667,121.7306667
"RU2012-030",2,"Russia",48.52457,134.95171
"RU2012-202",2,"Russia",44.89891,131.59099
"JY248",2,"China",44.26443333,129.4080667
"RU2012-138",2,"Russia",47.5072,134.74229
"KMS406",2,"South Korea",35.849853,127.337795
"RU2012-109",2,"Russia",48.58658,133.93906
"KMS331",3,"South Korea",34.626388,126.642777
"JY087",2,"China",29.77903333,115.77755
"JM2014-M-1",4,"Japan",35.76695,140.2150583
"KMS292",3,"South Korea",37.173333,129.020277
"RU2012-076",2,"Russia",48.52668,134.59024
"KMS323",3,"South Korea",34.628055,126.623333
"RU2012-086",2,"Russia",48.36613,133.13777
"JY109",2,"China",29.76095,113.92455
"RU2012-156",2,"Russia",46.42876,134.28346
"JY206",2,"China",41.79545,123.5986333
"JY073",2,"China",29.92555,116.59125
"RU2012-080",2,"Russia",48.66696,132.98195
"JM2014-H-54",4,"Japan",43.16615278,141.2891833
"JY196",2,"China",39.94418333,124.08685
"RU2012-052",2,"Russia",48.91709,136.22711
"JY154",2,"China",36.33255,120.6469167
"JM2014-H-49",4,"Japan",43.37846111,143.8856667
"JY138",4,"China",35.4895,119.1594667
"KMS376",2,"South Korea",37.761725,126.364306
"KMS390",4,"South Korea",37.191078,128.45131
"JY239",2,"China",43.61933333,128.5174167
"KMS465",4,"South Korea",38.069235,127.134034
"RU2012-066",2,"Russia",48.46719,135.44035
"RU2012-048",2,"Russia",49.3296,136.517141
"RU2012-121",2,"Russia",48.54032,134.71992
"RU2012-102",2,"Russia",48.70965,133.19217
"RU2012-019",2,"Russia",48.52554,134.93182
"JY083",2,"China",29.70598333,115.9206667
"RU2012-137",2,"Russia",47.89191,135.00688
"JY102",2,"China",30.05351667,114.07635
"JY055",2,"China",30.78585,117.7276333
"KMS346",4,"South Korea",36.385833,127.650833
"RU2012-046",2,"Russia",49.33235,136.52069
"JY039",2,"China",31.02443333,117.9954
"KMS343",2,"South Korea",36.639166,127.751111
"KMS332",4,"South Korea",35.8725,128.755
"KMS373",2,"South Korea",37.69906,126.431647
"KMS402",4,"South Korea",35.906942,127.134191
"RU2012-194",2,"Russia",44.43468,131.40121
"JY301",2,"China",32.5558,118.7190167
"RU2012-016",2,"Russia",47.1884,134.3671
"JY062",2,"China",30.4745,117.2979833
"RU2012-163",2,"Russia",46.11362,133.93221
"RU2012-079",2,"Russia",48.66692,132.98165
"JY251",2,"China",44.04035,129.1239167
"JY004",2,"China",29.79146667,120.0971167
"RU2012-168",2,"Russia",45.34602,133.55545
"KMS326",2,"South Korea",35.084444,126.5
"JY194",2,"China",39.75425,123.04745
"KMS411",4,"South Korea",35.796862,127.058927
"JY028",2,"China",31.1733,118.0633333
"JY267",2,"China",41.03921667,122.7726333
"RU2012-067",2,"Russia",48.46776,135.43935
"JY252",2,"China",43.92401667,129.0499667
"KMS361",2,"South Korea",38.140983,128.255129
"RU2012-135",2,"Russia",47.89243,135.00781
"RU2012-132",2,"Russia",47.94595,135.07269
"KMS382",2,"South Korea",37.571583,127.324248
"JY292",2,"China",33.39633333,118.1850833
"RU2012-201",2,"Russia",44.89843,131.58983
"JY090",2,"China",30.36963333,115.0423
"KMS398",2,"South Korea",37.0189,127.970643
"RU2012-203",2,"Russia",44.90185,131.59117
"RU2012-215",2,"Russia",44.69988,131.97716
"RU2012-101",2,"Russia",48.70993,133.19168
"JY025",2,"China",31.18653333,118.0630833
"JY279",2,"China",38.83321667,121.17145
"RU2012-167",2,"Russia",45.34602,133.55511
"RU2012-143",2,"Russia",47.2151,134.36658
"RU2012-075",2,"Russia",48.62688,135.14264
"RU2012-200",2,"Russia",44.89875,131.5905
"JY274",2,"China",40.3062,122.1640667
"RU2012-035",2,"Russia",49.06432,136.51791
"RU2012-031",2,"Russia",48.52469,134.95187
"JM2014-H-6",4,"Japan",44.09858611,142.3887944
"JM11-024-1",4,"Japan",35.34828056,132.7423389
"JM11-024-2",4,"Japan",35.34828056,132.7423389
"KMS393",4,"South Korea",37.196791,127.874303
"KMS397",4,"South Korea",37.069192,127.962548
"JM2014-H-45",4,"Japan",43.31673889,144.6024639
